chat, cnn, 0.1, 10, 53.2, 5.4 
chat, cnn, 0.1, 20, 52.7, 5.8 
chat, cnn, 0.1, 30, 55.9, 10.9 
chat, cnn, 0.1, 40, 55.0, 9.5 
chat, cnn, 0.1, 50, 54.4, 9.3 
chat, cnn, 0.2, 10, 52.4, 4.0 
chat, cnn, 0.2, 20, 52.3, 4.0 
chat, cnn, 0.2, 30, 55.0, 8.9 
chat, cnn, 0.2, 40, 54.1, 7.6 
chat, cnn, 0.2, 50, 53.7, 7.4 
chat, cnn, 0.3, 10, 52.0, 3.3 
chat, cnn, 0.3, 20, 51.8, 3.4 
chat, cnn, 0.3, 30, 53.8, 7.0 
chat, cnn, 0.3, 40, 53.7, 6.0 
chat, cnn, 0.3, 50, 52.8, 5.8 
chat, cnn, 0.4, 10, 52.0, 2.5 
chat, cnn, 0.4, 20, 51.8, 2.2 
chat, cnn, 0.4, 30, 53.1, 5.3 
chat, cnn, 0.4, 40, 52.7, 4.7 
chat, cnn, 0.4, 50, 52.7, 4.6 
chat, cnn, 0.5, 10, 51.0, 2.3 
chat, cnn, 0.5, 20, 51.6, 2.1 
chat, cnn, 0.5, 30, 52.5, 4.4 
chat, cnn, 0.5, 40, 52.3, 3.6 
chat, cnn, 0.5, 50, 52.3, 3.7 
chat, cnn-lstm, 0.1, 10, 84.1, 1.4 
chat, cnn-lstm, 0.1, 20, 84.3, 1.4 
chat, cnn-lstm, 0.1, 30, 84.9, 1.6 
chat, cnn-lstm, 0.1, 40, 86.1, 1.8 
chat, cnn-lstm, 0.1, 50, 86.5, 1.5 
chat, cnn-lstm, 0.2, 10, 82.4, 1.3 
chat, cnn-lstm, 0.2, 20, 82.6, 1.6 
chat, cnn-lstm, 0.2, 30, 83.3, 1.6 
chat, cnn-lstm, 0.2, 40, 84.5, 1.7 
